score_band,candidates,share
<0,9477,0.00406186968585979
0–99,683980,0.2931558117267468
100–199,657883,0.28197056183839786
200–299,360642,0.1545722071592114
300–399,240420,0.10304470928293878
400–499,170598,0.07311879758027946
500–599,128612,0.055123476209538814
600–649,51346,0.02200704451726884
650–699,27883,0.011950734668231353
700–720,2321,0.0009947873315269149
