stratum_id,label,outcome,metric,bin_left,bin_right,share,count
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_public_sector,annual_if_employed,250000.0,500000.0,0.23187562354506153,5578.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_public_sector,annual_if_employed,500000.0,1000000.0,0.298885932823412,7190.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_public_sector,annual_if_employed,1000000.0,2000000.0,0.21109078816095778,5078.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_public_sector,annual_if_employed,2000000.0,5000000.0,0.06742600598603259,1622.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,0.0,1.0,0.398275,15931.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,1.0,100000.0,0.0306,1224.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,100000.0,250000.0,0.148525,5941.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,250000.0,500000.0,0.19895,7958.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,500000.0,1000000.0,0.156275,6251.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,1000000.0,2000000.0,0.05765,2306.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual,2000000.0,5000000.0,0.009475,379.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,0.0,1.0,0.0,0.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,1.0,100000.0,0.05085379533840209,1224.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,100000.0,250000.0,0.2468320245959533,5941.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,250000.0,500000.0,0.33063276413644105,7958.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,500000.0,1000000.0,0.2597116623042087,6251.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,1000000.0,2000000.0,0.09580788566205492,2306.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,physician_private_sector,annual_if_employed,2000000.0,5000000.0,0.01574639577880261,379.0
