stratum_id,label,arms_race_scenario,outcome,metric,bin_left,bin_right,share,count
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,unilateral,realized,annual,1000000.0,2000000.0,0.026166666666666668,314.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,unilateral,realized,annual,2000000.0,5000000.0,0.004083333333333333,49.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,realized,annual,0.0,1.0,0.4915,5898.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,realized,annual,1.0,100000.0,0.058916666666666666,707.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,realized,annual,100000.0,250000.0,0.18916666666666668,2270.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,realized,annual,250000.0,500000.0,0.16525,1983.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,realized,annual,500000.0,1000000.0,0.07608333333333334,913.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,realized,annual,1000000.0,2000000.0,0.017666666666666667,212.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,realized,annual,2000000.0,5000000.0,0.0014166666666666668,17.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,0.0,1.0,0.478,5736.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,1.0,100000.0,0.0605,726.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,100000.0,250000.0,0.19775,2373.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,250000.0,500000.0,0.165,1980.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,500000.0,1000000.0,0.08025,963.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,1000000.0,2000000.0,0.01725,207.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,2000000.0,5000000.0,0.00125,15.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,realized,annual,0.0,1.0,0.47541666666666665,5705.0
