stratum_id,label,arms_race_scenario,bin_left,bin_right,share,count
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,-180.0,0.0,0.027975,1119.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,0.0,100.0,0.329425,13177.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,100.0,200.0,0.2334,9336.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,200.0,300.0,0.1642,6568.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,300.0,400.0,0.088925,3557.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,400.0,500.0,0.076925,3077.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,500.0,600.0,0.0521,2084.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,everyone_modest,600.0,720.0,0.02705,1082.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,-180.0,0.0,0.027975,1119.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,0.0,100.0,0.329425,13177.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,100.0,200.0,0.2334,9336.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,200.0,300.0,0.1642,6568.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,300.0,400.0,0.088925,3557.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,400.0,500.0,0.076925,3077.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,500.0,600.0,0.0521,2084.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,everyone_modest,600.0,720.0,0.02705,1082.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,-180.0,0.0,0.00105,42.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,0.0,100.0,0.2345,9380.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,100.0,200.0,0.296725,11869.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,200.0,300.0,0.1659,6636.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,300.0,400.0,0.114,4560.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,everyone_modest,400.0,500.0,0.087725,3509.0
