profile,evidence_id,program,cohort_year,outcome,observed_rate,trials,selection_into_program,reference,predicted_mean_under_national_rate,observed_minus_predicted,coaching_prior_shift_mean_sd,evidence_role,used_to_update_coaching_effect
reasonable,secl_sushrut_2023_24,SECL Ke Sushrut,2023-24,neet_qualified,0.975,40,very strong,posterior_national_qualify_rate,0.5639795400855379,0.4110204599144621,0.14637685917478085,upper-bound calibration for selected intensive programs,False
reasonable,secl_sushrut_2023_24,SECL Ke Sushrut,2023-24,mbbs_admission,0.275,40,very strong,posterior_national_mbbs_capacity_rate,0.05583426742438764,0.2191657325756124,0.14637685917478085,upper-bound calibration for selected intensive programs,False
reasonable,secl_sushrut_2024_25,SECL Ke Sushrut,2024-25,neet_qualified,0.775,40,very strong,posterior_national_qualify_rate,0.5639795400855379,0.21102045991446217,0.14637685917478085,temporal validation of qualification-rate variability,False
reasonable,apswreis_2024_25,Dr. B.R. Ambedkar IIT-NEET specialised centres,2024-25,neet_qualified,0.7944444444444444,180,very strong,posterior_national_qualify_rate,0.5639795400855379,0.23046490435890654,0.14637685917478085,calibration for selected welfare-school intensive coaching,False
reasonable,apswreis_2024_25,Dr. B.R. Ambedkar IIT-NEET specialised centres,2024-25,mbbs_admission,0.0722222222222222,180,very strong,posterior_national_mbbs_capacity_rate,0.05583426742438764,0.01638795479783456,0.14637685917478085,calibration for selected welfare-school intensive coaching,False
reasonable,sigaram_2018,Sigaram Free NEET Coaching Centre,2018,neet_qualified,0.1666666666666666,54,low,posterior_national_qualify_rate,0.5639795400855379,-0.3973128734188712,0.14637685917478085,lower-resource open-access cohort calibration,False
reasonable,sigaram_2018,Sigaram Free NEET Coaching Centre,2018,mbbs_admission,0.0,54,low,posterior_national_mbbs_capacity_rate,0.05583426742438764,-0.05583426742438764,0.14637685917478085,lower-resource open-access cohort calibration,False
reasonable,sigaram_2018,Sigaram Free NEET Coaching Centre,2018,government_mbbs_admission,0.0,54,low,posterior_national_mbbs_capacity_rate,0.05583426742438764,-0.05583426742438764,0.14637685917478085,lower-resource open-access cohort calibration,False
reasonable,sigaram_2019,Sigaram Free NEET Coaching Centre,2019,neet_qualified,0.1634615384615384,104,low,posterior_national_qualify_rate,0.5639795400855379,-0.4005180016239994,0.14637685917478085,lower-resource open-access cohort calibration,False
reasonable,sigaram_2019,Sigaram Free NEET Coaching Centre,2019,mbbs_admission,0.0,104,low,posterior_national_mbbs_capacity_rate,0.05583426742438764,-0.05583426742438764,0.14637685917478085,lower-resource open-access cohort calibration,False
reasonable,sigaram_2019,Sigaram Free NEET Coaching Centre,2019,government_mbbs_admission,0.0,104,low,posterior_national_mbbs_capacity_rate,0.05583426742438764,-0.05583426742438764,0.14637685917478085,lower-resource open-access cohort calibration,False
reasonable,sigaram_2020,Sigaram Free NEET Coaching Centre,2020,neet_qualified,0.4736842105263157,19,low,posterior_national_qualify_rate,0.5639795400855379,-0.09029532955922215,0.14637685917478085,lower-resource open-access cohort calibration,False
reasonable,sigaram_2020,Sigaram Free NEET Coaching Centre,2020,mbbs_admission,0.1052631578947368,19,low,posterior_national_mbbs_capacity_rate,0.05583426742438764,0.04942889047034915,0.14637685917478085,lower-resource open-access cohort calibration,False
