stratum_id,label,outcome,metric,employment_rate,zero_interpretation,mean,zero_share,p0,p10,p25,p50,p75,p90,p99,n
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,no_seat_mixture,annual,0.478975,family_support_or_delayed_independence_not_street_poverty,155318.16456537286,0.521025,0.0,0.0,0.0,0.0,233315.06286667153,454440.0263029247,1139409.4109958308,40000.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,no_seat_mixture,annual_if_employed,0.478975,wage_among_employed_only,324271.9652703645,0.0,11653.879279189254,90730.23439553299,143482.78098376608,243828.07380925232,410754.65638207854,645176.9438990676,1413845.2203413877,19159.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unconditional_stratum,annual,0.48175,family_support_or_delayed_independence_not_street_poverty,165057.20501725693,0.51825,0.0,0.0,0.0,0.0,242537.54535396857,477778.7865729066,1259619.3713098727,40000.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,unconditional_stratum,annual_if_employed,0.48175,wage_among_employed_only,342620.0415511302,0.0,11653.879279189254,92107.51947705953,147129.46722929887,252030.54322997096,429429.8319853759,685209.3278277966,1533585.9954892157,19270.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,government_mbbs_only,annual,0.553675,family_support_or_delayed_independence_not_street_poverty,372358.80858290894,0.446325,0.0,0.0,0.0,147303.6882807727,548985.375894946,1041292.7306611346,2586930.1995609063,40000.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,government_mbbs_only,annual_if_employed,0.553675,wage_among_employed_only,672522.343582262,0.0,21929.562956430636,149871.71285392548,265282.99691202503,492611.27944858035,868149.2608924933,1389459.0489704565,3044675.8626544964,22147.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,government_mbbs,annual,0.553675,family_support_or_delayed_independence_not_street_poverty,372358.80858290894,0.446325,0.0,0.0,0.0,147303.6882807727,548985.375894946,1041292.7306611346,2586930.1995609063,40000.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,government_mbbs,annual_if_employed,0.553675,wage_among_employed_only,672522.343582262,0.0,21929.562956430636,149871.71285392548,265282.99691202503,492611.27944858035,868149.2608924933,1389459.0489704565,3044675.8626544964,22147.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,private_mbbs,annual,0.5439,family_support_or_delayed_independence_not_street_poverty,361087.785821909,0.4561,0.0,0.0,0.0,128764.15147989106,520381.3195510453,1016307.0797531815,2622193.7537807603,40000.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,private_mbbs,annual_if_employed,0.5439,wage_among_employed_only,663886.3501046313,0.0,15124.720765348226,144122.54761179714,257235.24692118197,476524.43560578476,846779.0856139128,1382323.1095982061,3189597.505341016,21756.0
