stratum_id,label,metric,x,cdf_government_mbbs,cdf_no_seat_mixture,cdf_engineering
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,9111258.405342674,0.999833582958895,1.0,1.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,9387003.997041566,0.9998751872191712,1.0,1.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,9662749.58874046,0.9999167914794475,1.0,1.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,9938495.180439353,0.9999167914794475,1.0,1.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,10214240.772138247,0.9999167914794475,1.0,1.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,10489986.36383714,0.9999167914794475,1.0,1.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,10765731.955536034,0.9999583957397238,1.0,1.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,annual_if_employed,11041477.547234926,1.0,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,11653.879279189254,0.0,4.69109161701928e-05,0.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,287399.47097808274,0.27908137793310034,0.5196791293333959,0.4127178361956201
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,563145.0626769762,0.5636129139623898,0.8280714922362433,0.7564032237647158
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,838890.6543758697,0.7394741221501082,0.9271473471876905,0.8912190387780076
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,1114636.2460747631,0.8434431685804626,0.9684289534174603,0.950082281952825
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,1390381.8377736565,0.901065069063072,0.985645259651921,0.9762015274906114
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,1666127.42947255,0.935846230654019,0.993197917155322,0.9887758977172033
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,1941873.0211714436,0.9568147778332501,0.9966693249519163,0.9939237942529221
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,2217618.612870337,0.9700449326010984,0.9980297415208519,0.9965821342672687
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,2493364.2045692303,0.9789898485604926,0.9987334052634048,0.9978902063378201
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,2769109.7962681237,0.9849392577799967,0.9992963362574471,0.9986919279294485
