source_file,round,sno,rank,allotted_quota,allotted_institute,course,allotted_category,candidate_category,remarks
019_final_result_round_3_ug_counselling_2024.pdf,3,2988,22876,All India,"GOVERNMEN T MEDICAL COLLEGE MACHILIPAT NAM ,KARA AGRAHARAM NEAR RADAR STATION MACHILIPAT NAM, Andhra Pradesh, 521001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2989,22882,All India,"Fakhruddin Ali Ahmed Medical College, Barpeta,Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,2990,22891,All India,"COIMBATOR E MEDICAL COLLEGE,CO IMBATORE,CI VIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATOR E, Tamil Nadu, 641014",MBBS,EWS,EWS,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2991,22895,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI,Chitt apur Main Road, Yadgiri., Karnataka, 585202",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2992,22902,All India,"Gulbarga Institute of Medical Sciences, Gulbarga,Gulb arga Institute of Medical Sciences, Veeresh Nagar, Sedam Road, Kalaburagi, Karnataka, 585105",MBBS,EWS,EWS,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,2993,22904,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI,Chitt apur Main Road, Yadgiri., Karnataka, 585202",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2994,22905,All India,"YADGIRI INSTITUTE OF MEDICAL SCIENCES, YADGIRI,Chitt apur Main Road, Yadgiri., Karnataka, 585202",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,2995,22910,All India,"Pt. Raghunath Murmu Med. College, Baripada,Ran gamatia , p.o- Sankhabhang a , Via- Laxmiposi, Odisha, 757107",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2996,22912,All India,"Government Medical College, Jalna,Govern ment Medical College Global Gurukul School Opp Sushiladevi Lawns Ambad Mantha Road Jalna 43121, Maharashtra, 431213",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2997,22913,All India,"GOVERNMEN T MEDICAL COLLEGE, OSMANABAD ,New Building, Civil Hospital Compound, Marwad Galli, Osmanabad, Maharashtra, 413501",MBBS,EWS,EWS,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2998,22920,All India,"Government Medical College, Washim,Gover nment Medical College, Washim District womens Hospital building, Nalanda Nagar, Chikhali Road, Maharashtra, 444505",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,2999,22921,All India,"Government Medical College, Washim,Gover nment Medical College, Washim District womens Hospital building, Nalanda Nagar, Chikhali Road, Maharashtra, 444505",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3000,22922,All India,"Chitradurga Medical College and Research Institute,P B Road Chitradurga, Karnataka, 577501",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3001,22924,All India,"Government Medical College, Kanker, Chhattisgarh,L ate Smt. Indira Gandhi Memorial Government Medical College, Kanker, Chhattisgarh, Chhattisgarh, 494334",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3002,22929,All India,"GOVERNMEN T MEDICAL COLLEGE, HANDWARA, MAIDAN CHOGAL, HANDWARA, KUPWARA, Jammu And Kashmir, 193221",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3003,22935,All India,"RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT ,RAMPURHAT GOVERNMEN T MEDICAL COLLEGE AND HOSPITAL PO RAMPURHAT PS RAMPURHAT PIN 731224 DIST BIRBHUM, West Bengal, 731224",MBBS,EWS,EWS,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3004,22937,All India,"Diphu Medical College & Hospital, Assam,princip aldiphu1@gm ail.com, Assam, 782462",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3005,22939,All India,"Government Medical College, BULDHANA, ,DISTRICT WOMEN HOSPITAL, T.B. HOSPITAL CAMPUS, DHAD ROAD, BULDHANA., Maharashtra, 443001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3006,22944,All India,"GOVERNMEN T MEDICAL COLLEGE, HANDWARA, MAIDAN CHOGAL, HANDWARA, KUPWARA, Jammu And Kashmir, 193221",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3007,22945,All India,"Government Medical College Mahasamund Chhattisgarh,I n front of Sai temple raipur road village kharora Mahasamund, Chhattisgarh, 493445",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3008,22947,All India,"Chitradurga Medical College and Research Institute,P B Road Chitradurga, Karnataka, 577501",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3009,22951,All India,"GOVERNMEN T MEDICAL COLLEGE, HANDWARA, MAIDAN CHOGAL, HANDWARA, KUPWARA, Jammu And Kashmir, 193221",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3010,22963,All India,"Jorhat Medical College and Hospital, JORHAT,Kush al Konwar Path, Barbheta, Jorhat, Assam, 785001, Assam, 785001",MBBS,Open,General,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3011,22965,All India,"Jhargram Government Medical College and Hospital, West Bengal,Jhargr am Government Medical College and Hospital, Vidyasagarpall y, Jhargram, West Bengal., West Bengal, 721507",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3012,22973,All India,"Government Medical College, BULDHANA, ,DISTRICT WOMEN HOSPITAL, T.B. HOSPITAL CAMPUS, DHAD ROAD, BULDHANA., Maharashtra, 443001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3013,22975,All India,"Chandulal Chandrakar Memorial Government Medical College, Durg,Chandul al Chandrakar Memorial Government Medical College, Kurud Road, Near Rungta College, Kachandur, Chhattisgarh, 490024",MBBS,EWS,EWS,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3014,22976,All India,"Government Medical College, BULDHANA, ,DISTRICT WOMEN HOSPITAL, T.B. HOSPITAL CAMPUS, DHAD ROAD, BULDHANA., Maharashtra, 443001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3015,22996,All India,"GOVERNMEN T MEDICAL COLLEGE, HANDWARA, MAIDAN CHOGAL, HANDWARA, KUPWARA, Jammu And Kashmir, 193221",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3016,23000,All India,"Prafulla Chandra Sen Government Medical College & Hospital, Arambagh,Ara mbagh, Hooghly, West Bengal, 712601",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3017,23006,All India,"Saheed Laxman Nayak Med. College and Hos., Koraput,AT- JANIGUDA,K ORAPUT, Odisha, 764020",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3018,23016,All India,"Lakhimpur Medical College, North Lakhimpur, Assam,Chowk ham Saboti North Lakhimpur Lakhimpur, Assam, 787051",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3019,23019,All India,"Government Medical College, Washim,Gover nment Medical College, Washim District womens Hospital building, Nalanda Nagar, Chikhali Road, Maharashtra, 444505",MBBS,Open,OBC,Upgraded
