geography,enrolment_band,school_type,school_type_label,n_unweighted,n_coached_unweighted,coaching_rate_weighted,coaching_exp_p50_among_coached,coaching_exp_p90_among_coached,source_wave,notes
NCT Delhi,class_x_xii,1,government,130,63,0.5805701323433318,18700.0,31000.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
NCT Delhi,class_x_xii,3,private_unaided_recognised,56,28,0.5582497975744526,28500.0,48500.0,cmse_2025,Class X-XII school tutoring; not NEET-specific
