field,age_band,sex,sector,n_unweighted,lfp_weighted,employment_given_lf_weighted,unemployment_given_lf_weighted,zero_earnings_share_weighted,monthly_earn_p50_if_positive,monthly_earn_p90_if_positive,source_wave,notes
nurse_nco_222,22_35,female,all,395,1.0,1.0,,0.06981015221413953,18000.0,38000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineer_nco_21x,22_35,all,all,1311,1.0,1.0,,0.042370734099827785,35000.0,70500.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineer_nco_21x,22_35,all,rural,249,1.0,1.0,,0.032685671969307696,33000.0,70000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineer_nco_21x,22_35,all,urban,1062,1.0,1.0,,0.04512597141183836,36000.0,70600.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineer_nco_21x,22_35,male,all,1110,1.0,1.0,,0.02088361795308846,35000.0,70600.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
engineer_nco_21x,22_35,female,all,201,1.0,1.0,,0.13785970347663765,35000.0,65850.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
no_college,22_35,all,all,182665,0.6443144376134183,0.9771724294128978,0.022827570587102212,0.6643056770634495,12000.0,22500.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
no_college,22_35,all,rural,116206,0.6607201793632902,0.9809520410024782,0.019047958997521736,0.6962033816749771,11400.0,20000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
no_college,22_35,all,urban,66459,0.6003507368784904,0.9660254277205398,0.0339745722794602,0.5788269976441971,15000.0,25000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
no_college,22_35,male,all,89233,0.9588445823521924,0.9746340190358481,0.02536598096415186,0.4801644368620564,15000.0,25000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
no_college,22_35,female,all,93414,0.35645110209291053,0.9834186074119734,0.01658139258802661,0.8328793214936542,5000.0,12000.0,plfs_2025,"Usual status PAS; tedu codes 3/13 eng, 4/14 medicine provisional; NCO employed by definition"
