year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,VK,7124,,mbbs_lrank_final.pdf
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,BH,6048,,mbbs_lrank_final.pdf
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,BX,6827,,mbbs_lrank_final.pdf
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,KN,10352,,mbbs_lrank_final.pdf
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,KU,20850,,mbbs_lrank_final.pdf
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,SC,16422,,mbbs_lrank_final.pdf
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,ST,27341,,mbbs_lrank_final.pdf
2025,1,MBBS,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",S,EW,10702,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,SM,4434,"AM:4057, MM:7665, NM:25958, NR:22058",mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,EZ,4511,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,MU,4578,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,LA,7308,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,DV,7465,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,VK,5483,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,BH,4441,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,BX,,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,KN,,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,SC,15855,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,ST,26187,,mbbs_lrank_final.pdf
2025,1,MBBS,TRM,"Travancore Medical College, Umayanalloor, Kollam",S,EW,,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,SM,3473,"CC:7, XS:3660",mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,EZ,3808,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,MU,3678,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,LA,5869,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,DV,9418,,mbbs_lrank_final.pdf
2025,1,MBBS,ALD,"Government Dental College, Alappuzha",G,VK,3682,,mbbs_lrank_final.pdf
