year,phase,serial_no,state_rank,candidate_category,allotted_category,college_code,college_name,course,seat_type,option_no,source_file
2025,4,1,1274,General,SM,KSM,"Govt. Medical College, Kasaragod",MBBS,SM,13,mbbs_p4_final.pdf
2025,4,2,2477,General,SM,PMC,"Pushpagiri Institute of Medical Science, Thiruvalla",MBBS,SM,18,mbbs_p4_final.pdf
2025,4,3,2484,MU,MM,EMC,"MES Medical College, Perinthalmanna, Malappuram",MBBS,MM,18,mbbs_p4_final.pdf
2025,4,4,2491,EZ,EZ,KSM,"Govt. Medical College, Kasaragod",MBBS,EZ,1,mbbs_p4_final.pdf
2025,4,5,2717,MU,MU,MMC,"Malankara Orthodox Syrian Church MediCollege, Kolenchery",MBBS,MU,2,mbbs_p4_final.pdf
2025,4,6,2937,MU,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,2,mbbs_p4_final.pdf
2025,4,7,3093,General,AM,KDM,"P K Das Institute of Medical Sciences, Ottapalam",MBBS,AM,15,mbbs_p4_final.pdf
2025,4,8,3213,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,12,mbbs_p4_final.pdf
2025,4,9,3233,MU,SM,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",MBBS,SM,24,mbbs_p4_final.pdf
2025,4,10,3302,General,AM,MZM,"Mount Zion Medical College, Pathanamthitta",MBBS,AM,15,mbbs_p4_final.pdf
2025,4,11,3622,MU,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,15,mbbs_p4_final.pdf
2025,4,12,4433,MU,SM,ALD,"Government Dental College, Alappuzha",BDS,SM,15,mbbs_p4_final.pdf
2025,4,13,4492,MU,SM,ALD,"Government Dental College, Alappuzha",BDS,SM,6,mbbs_p4_final.pdf
2025,4,14,4507,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,3,mbbs_p4_final.pdf
2025,4,15,4528,MU,SM,KND,"Government Dental College, Kannur",BDS,SM,1,mbbs_p4_final.pdf
2025,4,16,4618,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,1,mbbs_p4_final.pdf
2025,4,17,4646,MU,SM,KND,"Government Dental College, Kannur",BDS,SM,4,mbbs_p4_final.pdf
2025,4,18,4676,MU,SM,KND,"Government Dental College, Kannur",BDS,SM,1,mbbs_p4_final.pdf
2025,4,19,4790,MU,SM,KND,"Government Dental College, Kannur",BDS,SM,16,mbbs_p4_final.pdf
2025,4,20,4815,General,AM,AAM,"Al Azhar Medical college, Thodupuzha",MBBS,AM,11,mbbs_p4_final.pdf
2025,4,21,4969,General,AM,AAM,"Al Azhar Medical college, Thodupuzha",MBBS,AM,2,mbbs_p4_final.pdf
2025,4,22,4990,General,AM,AAM,"Al Azhar Medical college, Thodupuzha",MBBS,AM,16,mbbs_p4_final.pdf
2025,4,23,5124,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,4,mbbs_p4_final.pdf
2025,4,24,5207,MU,AM,AAM,"Al Azhar Medical college, Thodupuzha",MBBS,AM,2,mbbs_p4_final.pdf
2025,4,25,5382,General,AM,AAM,"Al Azhar Medical college, Thodupuzha",MBBS,AM,1,mbbs_p4_final.pdf
2025,4,26,5425,MU,SM,MED,"MES Dental College, Perinthalmanna",BDS,SM,22,mbbs_p4_final.pdf
2025,4,27,5831,General,AM,PIM,"Palakkad Institute of Medical Sciences, Walayar",MBBS,AM,2,mbbs_p4_final.pdf
2025,4,28,5914,LA,SM,SUC,"SUT Accademy of Medical Sciences, Thiruvananthapuram",MBBS,SM,21,mbbs_p4_final.pdf
2025,4,29,5919,General,AM,PIM,"Palakkad Institute of Medical Sciences, Walayar",MBBS,AM,2,mbbs_p4_final.pdf
2025,4,30,6155,General,SD,KTD,"Govt. Dental College, Kottayam",BDS,SD,17,mbbs_p4_final.pdf
2025,4,31,6157,BH,BH,BCM,"Believers Church Medical College Hospital, Thiruvalla",MBBS,BH,18,mbbs_p4_final.pdf
2025,4,32,6420,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,15,mbbs_p4_final.pdf
2025,4,33,6480,General,AM,MZM,"Mount Zion Medical College, Pathanamthitta",MBBS,AM,17,mbbs_p4_final.pdf
2025,4,34,6510,EZ,EZ,AID,"Sree Anjaneya Institue of Dental Scinces, Atholi, Kozhikode",BDS,EZ,8,mbbs_p4_final.pdf
2025,4,35,6524,MU,MM,AZC,"Azeezia Institute of Medi Science, Meyyannoor, Kollam",MBBS,MM,24,mbbs_p4_final.pdf
2025,4,36,6574,General,AM,PIM,"Palakkad Institute of Medical Sciences, Walayar",MBBS,AM,13,mbbs_p4_final.pdf
2025,4,37,6693,MU,AM,AAM,"Al Azhar Medical college, Thodupuzha",MBBS,AM,7,mbbs_p4_final.pdf
2025,4,38,6762,MU,SM,KDM,"P K Das Institute of Medical Sciences, Ottapalam",MBBS,SM,21,mbbs_p4_final.pdf
2025,4,39,7063,EW,AM,AAM,"Al Azhar Medical college, Thodupuzha",MBBS,AM,29,mbbs_p4_final.pdf
2025,4,40,7154,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,4,mbbs_p4_final.pdf
2025,4,41,7177,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,20,mbbs_p4_final.pdf
2025,4,42,7220,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,5,mbbs_p4_final.pdf
2025,4,43,7232,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,5,mbbs_p4_final.pdf
2025,4,44,7237,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,21,mbbs_p4_final.pdf
2025,4,45,7271,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,9,mbbs_p4_final.pdf
2025,4,46,7272,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,20,mbbs_p4_final.pdf
2025,4,47,7331,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,3,mbbs_p4_final.pdf
2025,4,48,7405,General,AM,KEM,"Kerala Medical College, Palakkad",MBBS,AM,19,mbbs_p4_final.pdf
