year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,1,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,SC,4928,,mbbs_lrank_final.pdf
2025,1,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,ST,6153,,mbbs_lrank_final.pdf
2025,1,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,EW,973,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,SM,559,"PD:41059, PI:7",mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,EZ,1276,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,MU,891,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,LA,1938,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,DV,5454,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,VK,1819,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,BH,1341,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,BX,2039,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,KN,8828,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,SC,9917,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,ST,20179,,mbbs_lrank_final.pdf
2025,1,MBBS,KLM,"Govt. Medical College, Parippally, Kollam",G,EW,1937,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,SM,691,"PD:41698, PI:5",mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,EZ,1086,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,MU,886,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,LA,2420,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,DV,5400,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,VK,1536,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,BH,1154,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,BX,1724,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,KN,8315,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,KU,16743,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,SC,9741,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,ST,20723,,mbbs_lrank_final.pdf
2025,1,MBBS,KNM,Government Medical College Kannur,G,EW,2090,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,SM,490,"CC:2, DA:13430, DK:23204, PD:30821, PI:1, XS:543",mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,EZ,643,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,MU,538,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,LA,1068,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,DV,3887,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,VK,820,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,BH,773,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,BX,1351,,mbbs_lrank_final.pdf
2025,1,MBBS,KTM,"Govt. Medical College, Kottayam",G,KN,6247,,mbbs_lrank_final.pdf
