year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,SM,857,"DA:13014, PD:39940, PI:2, SD:2458, XS:1894",mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,EZ,1026,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,MU,1003,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,LA,1242,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,DV,2103,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,VK,5062,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,BH,1392,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,BX,1495,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,KN,7817,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,KU,8753,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,SC,10163,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,ST,20723,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,ALP,"T D Govt. Medical College, Alappuzha",G,EW,1753,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,SM,904,"DA:13937, HR:28775, PD:42969, PI:3",mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,EZ,1161,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,MU,1101,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,LA,1364,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,DV,2189,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,VK,4817,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,BH,1439,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,BX,1602,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,KN,7990,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,KU,15753,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,SC,11164,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,ST,19298,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,CMC,"Govt. Medical College, Ernakulam",G,EW,1943,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,SM,,"CC:3, PD:44709, PT:6",mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,EZ,2362,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,MU,2373,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,LA,2328,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,DV,3296,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,VK,6307,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,BH,2556,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,BX,2674,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,KN,9811,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,KU,20214,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,SC,15439,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,ST,20938,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,IDM,Government Medical College Idukki,G,EW,2842,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,SM,234,"CC:1, DA:7273, PD:25251, PT:1, SD:438, XS:362",mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,EZ,475,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,MU,280,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,LA,529,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,DV,1020,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,VK,3098,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,BH,583,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,BX,1149,,mbbs_lrank_p3_final2.pdf
2025,3,MBBS,KKM,"Govt. Medical College, Kozhikkode",G,KN,4225,,mbbs_lrank_p3_final2.pdf
